noise_strength,eve_rate,qber_mean
0.0653,0.1200,0.063452
0.0653,0.1350,0.064729
0.0653,0.1500,0.071979
0.0653,0.1650,0.075246
0.0653,0.1800,0.072137
0.0653,0.1950,0.083833
0.0653,0.2100,0.078862
0.0653,0.2250,0.084054
0.0653,0.2400,0.086617
0.0653,0.2550,0.094375
0.0653,0.2700,0.096596
0.0653,0.2850,0.094621
0.0653,0.3000,0.099975
0.0653,0.3150,0.110020
0.0653,0.3300,0.112092
0.0653,0.3450,0.110814
0.0653,0.3600,0.112818
0.0653,0.3750,0.121986
0.0653,0.3900,0.121991
0.0653,0.4050,0.123081
0.0653,0.4200,0.130159
0.0653,0.4350,0.139467
0.0653,0.4500,0.139152
0.0653,0.4650,0.139353
0.0653,0.4800,0.150051
0.0653,0.4950,0.160756
0.0653,0.5100,0.157049
0.0653,0.5250,0.157178
0.0653,0.5400,0.153862
0.0653,0.5550,0.156092
0.0653,0.5700,0.162613
0.0653,0.5850,0.172024
0.0653,0.6000,0.165885
0.0700,0.0000,0.029013
0.0700,0.0150,0.036597
0.0700,0.0300,0.039018
0.0700,0.0450,0.046466
0.0700,0.0600,0.047773
0.0700,0.0750,0.048624
0.0700,0.0900,0.053265
0.0700,0.1050,0.056766
0.0700,0.1200,0.064785
0.0700,0.1350,0.073183
0.0700,0.1500,0.073530
0.0700,0.1650,0.073574
0.0700,0.1800,0.078426
0.0700,0.1950,0.083088
0.0700,0.2100,0.085347
0.0700,0.2250,0.082708
0.0700,0.2400,0.092319
0.0700,0.2550,0.092036
0.0700,0.2700,0.097744
0.0700,0.2850,0.095274
0.0700,0.3000,0.106632
0.0700,0.3150,0.112160
0.0700,0.3300,0.114489
0.0700,0.3450,0.110388
0.0700,0.3600,0.122567
0.0700,0.3750,0.129787
0.0700,0.3900,0.129922
0.0700,0.4050,0.122464
0.0700,0.4200,0.129805
0.0700,0.4350,0.136283
0.0700,0.4500,0.134488
0.0700,0.4650,0.145790
0.0700,0.4800,0.140752
0.0700,0.4950,0.145961
0.0700,0.5100,0.151072
0.0700,0.5250,0.149717
0.0700,0.5400,0.157061
0.0700,0.5550,0.165588
0.0700,0.5700,0.169661
0.0700,0.5850,0.168614
0.0700,0.6000,0.161615
0.0747,0.0000,0.036503
0.0747,0.0150,0.043620
0.0747,0.0300,0.052299
0.0747,0.0450,0.044402
0.0747,0.0600,0.051020
0.0747,0.0750,0.058633
0.0747,0.0900,0.057762
0.0747,0.1050,0.064942
0.0747,0.1200,0.066389
0.0747,0.1350,0.065430
0.0747,0.1500,0.072314
0.0747,0.1650,0.078289
0.0747,0.1800,0.076822
0.0747,0.1950,0.084706
0.0747,0.2100,0.091987
0.0747,0.2250,0.088345
0.0747,0.2400,0.092333
0.0747,0.2550,0.097362
0.0747,0.2700,0.105581
0.0747,0.2850,0.104521
0.0747,0.3000,0.105054
0.0747,0.3150,0.116610
0.0747,0.3300,0.113705
0.0747,0.3450,0.113815
0.0747,0.3600,0.123298
0.0747,0.3750,0.126524
0.0747,0.3900,0.126357
0.0747,0.4050,0.129447
0.0747,0.4200,0.133491
0.0747,0.4350,0.135802
0.0747,0.4500,0.144518
0.0747,0.4650,0.144982
0.0747,0.4800,0.149717
0.0747,0.4950,0.163462
0.0747,0.5100,0.163987
0.0747,0.5250,0.159972
0.0747,0.5400,0.159958
0.0747,0.5550,0.161651
0.0747,0.5700,0.178516
0.0747,0.5850,0.173346
0.0747,0.6000,0.168725
0.0793,0.0000,0.032517
0.0793,0.0150,0.043703
0.0793,0.0300,0.048093
0.0793,0.0450,0.047888
0.0793,0.0600,0.053916
0.0793,0.0750,0.057874
0.0793,0.0900,0.058134
0.0793,0.1050,0.064128
0.0793,0.1200,0.066581
0.0793,0.1350,0.071646
0.0793,0.1500,0.069850
0.0793,0.1650,0.085954
0.0793,0.1800,0.080322
0.0793,0.1950,0.084480
0.0793,0.2100,0.086401
0.0793,0.2250,0.091590
0.0793,0.2400,0.098299
0.0793,0.2550,0.094432
0.0793,0.2700,0.104952
0.0793,0.2850,0.104097
0.0793,0.3000,0.109924
0.0793,0.3150,0.111470
0.0793,0.3300,0.113623
0.0793,0.3450,0.121133
