noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0300,0.1950,0.114843,0.128452,0.244137,0.000000
0.0300,0.2025,0.130537,0.117126,0.252219,0.000000
0.0300,0.2100,0.133475,0.110168,0.246352,0.000000
0.0300,0.2175,0.134228,0.113194,0.249995,0.000000
0.0300,0.2250,0.145201,0.102909,0.245022,0.000000
0.0300,0.2325,0.126445,0.117935,0.248038,0.000000
0.0300,0.2400,0.137355,0.108299,0.245246,0.000000
0.0300,0.2475,0.145730,0.103966,0.254759,0.000000
0.0300,0.2550,0.145788,0.104948,0.245106,0.000000
0.0300,0.2625,0.150450,0.099520,0.244320,0.000000
0.0300,0.2700,0.154787,0.098238,0.247633,0.000000
0.0300,0.2775,0.166554,0.092327,0.254315,0.000000
0.0300,0.2850,0.172455,0.084530,0.237221,0.000000
0.0300,0.2925,0.168446,0.089660,0.237225,0.000000
0.0300,0.3000,0.169640,0.090521,0.244782,0.000000
0.0350,0.0000,0.034952,0.204964,0.131048,0.077065
0.0350,0.0075,0.041384,0.194810,0.147081,0.053548
0.0350,0.0150,0.042429,0.192647,0.149742,0.048848
0.0350,0.0225,0.038581,0.200653,0.138115,0.066331
0.0350,0.0300,0.059300,0.178651,0.184386,0.021901
0.0350,0.0375,0.052237,0.183590,0.172575,0.024543
0.0350,0.0450,0.056475,0.182056,0.182530,0.021518
0.0350,0.0525,0.063764,0.170790,0.189260,0.011926
0.0350,0.0600,0.060933,0.174903,0.182021,0.024256
0.0350,0.0675,0.070406,0.160170,0.196739,0.006394
0.0350,0.0750,0.076772,0.162183,0.208692,0.011955
0.0350,0.0825,0.077489,0.159664,0.210567,0.001693
0.0350,0.0900,0.069551,0.168859,0.200907,0.014877
0.0350,0.0975,0.078375,0.158819,0.209833,0.009873
0.0350,0.1050,0.073065,0.162454,0.205044,0.005959
0.0350,0.1125,0.092020,0.146955,0.225257,0.004527
0.0350,0.1200,0.085495,0.152854,0.220863,0.004005
0.0350,0.1275,0.095742,0.137116,0.219465,0.000586
0.0350,0.1350,0.092172,0.144060,0.225186,0.001565
0.0350,0.1425,0.094297,0.141965,0.231112,0.001285
0.0350,0.1500,0.094499,0.144061,0.226631,0.001577
0.0350,0.1575,0.107041,0.133708,0.240362,0.000000
0.0350,0.1650,0.108346,0.129405,0.232371,0.001528
0.0350,0.1725,0.110558,0.130947,0.240282,0.000000
0.0350,0.1800,0.121381,0.122293,0.248267,0.000000
0.0350,0.1875,0.115847,0.131768,0.243098,0.003172
0.0350,0.1950,0.134288,0.111544,0.249521,0.000000
0.0350,0.2025,0.122776,0.122750,0.245438,0.000000
0.0350,0.2100,0.129750,0.116439,0.242727,0.001459
0.0350,0.2175,0.128730,0.120382,0.245832,0.000055
