noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0240,0.0000,0.013305,0.450843,0.049507,0.401336
0.0240,0.0107,0.013602,0.446450,0.049850,0.396599
0.0240,0.0214,0.016441,0.436907,0.057993,0.378915
0.0240,0.0321,0.016990,0.440742,0.061508,0.379234
0.0240,0.0429,0.021295,0.420745,0.071705,0.349040
0.0240,0.0536,0.024841,0.419818,0.082132,0.337685
0.0240,0.0643,0.023693,0.418901,0.078249,0.340652
0.0240,0.0750,0.027558,0.413038,0.090412,0.322626
0.0240,0.0857,0.035100,0.395970,0.109680,0.286290
0.0240,0.0964,0.036888,0.384764,0.111636,0.273128
0.0240,0.1071,0.041587,0.378869,0.124481,0.254387
0.0240,0.1179,0.040778,0.374879,0.120371,0.254507
0.0240,0.1286,0.044206,0.372363,0.129287,0.243075
0.0240,0.1393,0.043313,0.371329,0.126721,0.244608
0.0240,0.1500,0.051533,0.357741,0.146109,0.211632
0.0240,0.1607,0.049761,0.357478,0.141272,0.216207
0.0240,0.1714,0.051962,0.352908,0.145442,0.207465
0.0240,0.1821,0.051953,0.358044,0.147406,0.210637
0.0240,0.1929,0.054619,0.351673,0.152277,0.199396
0.0240,0.2036,0.064674,0.331067,0.171783,0.159284
0.0240,0.2143,0.063844,0.334737,0.172513,0.162223
0.0240,0.2250,0.069732,0.317386,0.181014,0.136372
0.0240,0.2357,0.066874,0.322921,0.175729,0.147192
0.0240,0.2464,0.071166,0.320701,0.185549,0.135152
0.0240,0.2571,0.071812,0.315654,0.184896,0.130759
0.0240,0.2679,0.076398,0.308727,0.193773,0.115752
0.0240,0.2786,0.071938,0.316028,0.185172,0.130856
0.0240,0.2893,0.077903,0.309330,0.198570,0.111958
0.0240,0.3000,0.084904,0.293501,0.210399,0.084037
0.0240,0.3107,0.085327,0.289455,0.206695,0.084259
0.0240,0.3214,0.090291,0.280318,0.215782,0.067561
0.0240,0.3321,0.086481,0.287428,0.210422,0.078121
0.0240,0.3429,0.099622,0.267204,0.232796,0.040151
0.0240,0.3536,0.098233,0.272485,0.233165,0.048372
0.0240,0.3643,0.103727,0.258042,0.236208,0.036156
0.0240,0.3750,0.103998,0.265277,0.243123,0.037916
0.0240,0.3857,0.111635,0.248719,0.250231,0.025613
0.0240,0.3964,0.107351,0.257705,0.246495,0.027443
0.0240,0.4071,0.105133,0.258030,0.240420,0.035049
0.0240,0.4179,0.119033,0.240655,0.265745,0.010008
0.0240,0.4286,0.115463,0.242955,0.255695,0.021250
0.0240,0.4393,0.119774,0.238393,0.264857,0.013287
0.0240,0.4500,0.115764,0.241041,0.255159,0.015519
0.0240,0.4607,0.121368,0.235347,0.265503,0.011464
0.0240,0.4714,0.127839,0.223746,0.271704,0.008105
0.0240,0.4821,0.134747,0.215370,0.281180,0.003209
0.0240,0.4929,0.134775,0.216127,0.283973,0.001159
0.0240,0.5036,0.138534,0.210008,0.288592,0.000852
0.0240,0.5143,0.137868,0.213019,0.289731,0.003006
0.0240,0.5250,0.143274,0.204526,0.295724,0.001044
0.0240,0.5357,0.140028,0.210565,0.291985,0.002657
0.0240,0.5464,0.150144,0.196715,0.302735,0.000733
0.0240,0.5571,0.150033,0.196087,0.303363,0.000020
0.0240,0.5679,0.149304,0.196087,0.300263,0.000775
0.0240,0.5786,0.156474,0.187873,0.308877,0.000492
0.0240,0.5893,0.162476,0.179317,0.314233,0.000224
0.0240,0.6000,0.152431,0.194957,0.307243,0.000000
0.0300,0.0000,0.016192,0.444632,0.058518,0.386114
0.0300,0.0107,0.017118,0.440477,0.060073,0.380404
0.0300,0.0214,0.020301,0.431817,0.070933,0.360885
0.0300,0.0321,0.022047,0.424733,0.074217,0.350517
0.0300,0.0429,0.022602,0.422728,0.076222,0.346507
0.0300,0.0536,0.028439,0.409501,0.092549,0.316953
0.0300,0.0643,0.031135,0.401521,0.098679,0.302843
0.0300,0.0750,0.033795,0.389269,0.103981,0.285288
0.0300,0.0857,0.034983,0.393245,0.108255,0.284991
0.0300,0.0964,0.036759,0.388797,0.112653,0.276144
0.0300,0.1071,0.041491,0.373416,0.121984,0.251432
0.0300,0.1179,0.046168,0.370104,0.134446,0.235657
0.0300,0.1286,0.047023,0.370811,0.138389,0.232423
0.0300,0.1393,0.055836,0.346124,0.153976,0.192148
0.0300,0.1500,0.049210,0.362455,0.139795,0.222660
0.0300,0.1607,0.054766,0.347075,0.150025,0.197049
0.0300,0.1714,0.063374,0.331015,0.168985,0.162031
0.0300,0.1821,0.058542,0.343307,0.160943,0.182364
0.0300,0.1929,0.059785,0.336943,0.160457,0.176486
0.0300,0.2036,0.063792,0.329398,0.169002,0.160397
0.0300,0.2143,0.067425,0.322171,0.175479,0.147423
0.0300,0.2250,0.073348,0.315196,0.189654,0.125543
0.0300,0.2357,0.074374,0.310640,0.189910,0.120730
0.0300,0.2464,0.076713,0.309653,0.196297,0.114636
0.0300,0.2571,0.082506,0.291904,0.200696,0.092754
0.0300,0.2679,0.077884,0.302309,0.194591,0.109768
0.0300,0.2786,0.084274,0.293225,0.206225,0.090627
0.0300,0.2893,0.084007,0.293287,0.206713,0.087602
0.0300,0.3000,0.092651,0.280199,0.222451,0.062649
0.0300,0.3107,0.089301,0.279220,0.212530,0.067808
0.0300,0.3214,0.090717,0.282744,0.219056,0.066781
0.0300,0.3321,0.087954,0.287755,0.213695,0.077609
0.0300,0.3429,0.096254,0.272402,0.227898,0.047222
0.0300,0.3536,0.101662,0.263616,0.234784,0.040573
0.0300,0.3643,0.100467,0.268437,0.236163,0.042497
0.0300,0.3750,0.102648,0.260830,0.236220,0.035098
0.0300,0.3857,0.113190,0.246591,0.253959,0.018752
0.0300,0.3964,0.109451,0.254866,0.250434,0.026808
0.0300,0.4071,0.115805,0.242051,0.256549,0.013962
0.0300,0.4179,0.115059,0.242641,0.255259,0.019352
0.0300,0.4286,0.118308,0.234444,0.256256,0.013671
0.0300,0.4393,0.123940,0.228415,0.266935,0.004333
0.0300,0.4500,0.118450,0.239114,0.262186,0.010621
0.0300,0.4607,0.123819,0.232631,0.270669,0.008070
0.0300,0.4714,0.131723,0.220402,0.279998,0.003134
0.0300,0.4821,0.130902,0.220116,0.277134,0.003575
0.0300,0.4929,0.137913,0.213397,0.290803,0.003582
0.0300,0.5036,0.140499,0.207975,0.290425,0.002312
0.0300,0.5143,0.137960,0.212512,0.287788,0.002320
0.0300,0.5250,0.136939,0.216419,0.292181,0.000559
0.0300,0.5357,0.139978,0.207749,0.288251,0.002933
0.0300,0.5464,0.150120,0.197390,0.305510,0.000000
0.0300,0.5571,0.145364,0.204581,0.302069,0.000000
0.0300,0.5679,0.150949,0.197165,0.308335,0.000353
0.0300,0.5786,0.157835,0.186494,0.312606,0.000265
0.0300,0.5893,0.163775,0.180128,0.321322,0.000000
0.0300,0.6000,0.163013,0.180473,0.319177,0.000000
0.0360,0.0000,0.019525,0.426788,0.067262,0.359527
0.0360,0.0107,0.021265,0.427656,0.071094,0.356562
0.0360,0.0214,0.023240,0.420127,0.077673,0.342453
0.0360,0.0321,0.024869,0.421693,0.081707,0.339986
0.0360,0.0429,0.028247,0.405440,0.090460,0.314981
0.0360,0.0536,0.030398,0.399636,0.095464,0.304173
0.0360,0.0643,0.034705,0.392495,0.106755,0.285740
0.0360,0.0750,0.033588,0.396306,0.104744,0.291562
0.0360,0.0857,0.038568,0.382378,0.116122,0.266256
0.0360,0.0964,0.041693,0.379695,0.124205,0.255490
0.0360,0.1071,0.044265,0.372367,0.130033,0.242333
0.0360,0.1179,0.044592,0.370681,0.130519,0.240162
0.0360,0.1286,0.049063,0.364472,0.141578,0.222895
0.0360,0.1393,0.051593,0.358100,0.146800,0.211300
0.0360,0.1500,0.056484,0.342802,0.153848,0.188954
0.0360,0.1607,0.054992,0.347794,0.153056,0.194738
0.0360,0.1714,0.059832,0.339369,0.160731,0.178638
0.0360,0.1821,0.061711,0.336576,0.166424,0.170153
0.0360,0.1929,0.066099,0.329012,0.176038,0.152975
0.0360,0.2036,0.067928,0.324969,0.179581,0.145388
0.0360,0.2143,0.067687,0.321142,0.176258,0.145556
0.0360,0.2250,0.069866,0.318668,0.181682,0.136985
0.0360,0.2357,0.072006,0.312890,0.183510,0.129379
0.0360,0.2464,0.080948,0.302835,0.204415,0.099311
0.0360,0.2571,0.076545,0.308673,0.193327,0.116434
0.0360,0.2679,0.079863,0.302083,0.201317,0.101653
0.0360,0.2786,0.083199,0.296363,0.207037,0.089327
0.0360,0.2893,0.087923,0.287390,0.213560,0.079251
0.0360,0.3000,0.088943,0.288896,0.218154,0.073727
0.0360,0.3107,0.090891,0.278681,0.216569,0.063088
0.0360,0.3214,0.097097,0.270117,0.228233,0.047093
0.0360,0.3321,0.101955,0.263024,0.236076,0.038124
0.0360,0.3429,0.101089,0.265981,0.236069,0.042172
0.0360,0.3536,0.101833,0.265315,0.237735,0.036626
0.0360,0.3643,0.102935,0.263299,0.238601,0.039860
0.0360,0.3750,0.110213,0.252421,0.249929,0.026330
0.0360,0.3857,0.105425,0.258693,0.243407,0.030338
0.0360,0.3964,0.109656,0.251781,0.246719,0.032128
0.0360,0.4071,0.111830,0.246955,0.249195,0.026110
0.0360,0.4179,0.122262,0.235865,0.268435,0.017138
0.0360,0.4286,0.114703,0.243518,0.253332,0.018977
0.0360,0.4393,0.120631,0.238290,0.266060,0.013864
0.0360,0.4500,0.125342,0.231126,0.273274,0.007457
0.0360,0.4607,0.124107,0.232056,0.270094,0.013990
0.0360,0.4714,0.132920,0.219351,0.282549,0.003140
0.0360,0.4821,0.135676,0.215551,0.286099,0.003791
0.0360,0.4929,0.138271,0.209153,0.284997,0.003396
0.0360,0.5036,0.140267,0.209863,0.291037,0.003859
0.0360,0.5143,0.140833,0.210243,0.294907,0.001029
0.0360,0.5250,0.146948,0.200118,0.299482,0.000000
0.0360,0.5357,0.148529,0.197491,0.301609,0.002050
0.0360,0.5464,0.149590,0.195733,0.300767,0.000000
0.0360,0.5571,0.154366,0.189133,0.306367,0.000000
0.0360,0.5679,0.161692,0.181690,0.317860,0.000000
0.0360,0.5786,0.156747,0.190789,0.315011,0.000000
0.0360,0.5893,0.159255,0.184874,0.315626,0.000000
0.0360,0.6000,0.165318,0.175959,0.316791,0.000000
0.0420,0.0000,0.022332,0.428225,0.076425,0.351801
0.0420,0.0107,0.021290,0.428838,0.073312,0.355525
0.0420,0.0214,0.026598,0.415139,0.087211,0.327928
0.0420,0.0321,0.028013,0.412335,0.090765,0.321570
0.0420,0.0429,0.030170,0.399764,0.094586,0.305178
0.0420,0.0536,0.034738,0.392346,0.107604,0.284743
0.0420,0.0643,0.038864,0.384287,0.118313,0.265974
0.0420,0.0750,0.042813,0.378217,0.127383,0.250833
0.0420,0.0857,0.043008,0.374648,0.126752,0.247895
0.0420,0.0964,0.041640,0.374545,0.123105,0.251441
0.0420,0.1071,0.044696,0.370957,0.130843,0.240115
0.0420,0.1179,0.049908,0.358302,0.140998,0.217305
0.0420,0.1286,0.050104,0.356345,0.140605,0.215740
0.0420,0.1393,0.052374,0.349555,0.144795,0.204760
0.0420,0.1500,0.055968,0.347113,0.154437,0.192675
0.0420,0.1607,0.058377,0.340523,0.158977,0.181546
0.0420,0.1714,0.060285,0.336657,0.163493,0.173165
0.0420,0.1821,0.065580,0.322370,0.170980,0.151391
0.0420,0.1929,0.066960,0.325503,0.176697,0.148806
0.0420,0.2036,0.073839,0.306672,0.185528,0.121144
0.0420,0.2143,0.070674,0.318637,0.182613,0.136595
0.0420,0.2250,0.073803,0.310516,0.187984,0.123085
0.0420,0.2357,0.079666,0.301347,0.198603,0.105352
0.0420,0.2464,0.082776,0.298579,0.207321,0.091895
0.0420,0.2571,0.081422,0.297831,0.200619,0.100891
0.0420,0.2679,0.082836,0.294556,0.204194,0.090546
0.0420,0.2786,0.100000,0.269935,0.235415,0.043902
0.0420,0.2893,0.085811,0.287640,0.207810,0.082812
0.0420,0.3000,0.087402,0.285958,0.211842,0.076086
0.0420,0.3107,0.096893,0.271643,0.228107,0.051104
0.0420,0.3214,0.096923,0.270745,0.228055,0.045965
0.0420,0.3321,0.100912,0.267367,0.235983,0.041149
0.0420,0.3429,0.107159,0.257206,0.245994,0.028485
0.0420,0.3536,0.104277,0.257649,0.238201,0.035301
0.0420,0.3643,0.107700,0.253492,0.243808,0.027646
0.0420,0.3750,0.107455,0.254078,0.243972,0.027441
0.0420,0.3857,0.114558,0.247402,0.258948,0.017960
0.0420,0.3964,0.112632,0.249060,0.253440,0.026008
0.0420,0.4071,0.122726,0.233090,0.267660,0.011037
0.0420,0.4179,0.124186,0.229903,0.269447,0.003921
0.0420,0.4286,0.124101,0.229037,0.266313,0.009773
0.0420,0.4393,0.125669,0.228775,0.270875,0.010622
0.0420,0.4500,0.128227,0.228295,0.278205,0.007861
0.0420,0.4607,0.133097,0.216753,0.280097,0.004285
0.0420,0.4714,0.144218,0.201850,0.294200,0.000000
0.0420,0.4821,0.137449,0.211126,0.285674,0.001686
0.0420,0.4929,0.139128,0.210788,0.289862,0.002650
0.0420,0.5036,0.141866,0.210020,0.297180,0.001351
0.0420,0.5143,0.141933,0.205482,0.290318,0.003252
0.0420,0.5250,0.144305,0.203853,0.296947,0.001922
0.0420,0.5357,0.146982,0.202917,0.302183,0.003251
0.0420,0.5464,0.146323,0.201469,0.299881,0.001400
0.0420,0.5571,0.156198,0.187870,0.308830,0.000000
0.0420,0.5679,0.151683,0.194587,0.305263,0.001992
0.0420,0.5786,0.157736,0.186992,0.313408,0.000000
0.0420,0.5893,0.161671,0.183475,0.320875,0.000056
0.0420,0.6000,0.159546,0.184782,0.315218,0.000000
0.0480,0.0000,0.024524,0.419884,0.082066,0.337817
0.0480,0.0107,0.028038,0.414182,0.091718,0.322463
0.0480,0.0214,0.034359,0.395713,0.107737,0.287977
0.0480,0.0321,0.031033,0.400524,0.097976,0.302547
0.0480,0.0429,0.033320,0.395906,0.102994,0.292913
