noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0700,0.0450,0.049294,0.357457,0.139943,0.217514
0.0700,0.0600,0.047212,0.358993,0.134507,0.224486
0.0700,0.0750,0.056919,0.350035,0.158965,0.191070
0.0700,0.0900,0.057486,0.346909,0.159391,0.187518
0.0700,0.1050,0.057735,0.340953,0.157547,0.183406
0.0700,0.1200,0.059246,0.336253,0.159547,0.176705
0.0700,0.1350,0.063403,0.330298,0.169102,0.161196
0.0700,0.1500,0.071813,0.316416,0.186384,0.130031
0.0700,0.1650,0.073125,0.311965,0.187235,0.124730
0.0700,0.1800,0.081475,0.293696,0.199504,0.094685
0.0700,0.1950,0.082725,0.298405,0.207295,0.091412
0.0700,0.2100,0.086608,0.286286,0.209114,0.081767
0.0700,0.2250,0.083636,0.292623,0.205477,0.087147
0.0700,0.2400,0.096500,0.272441,0.227359,0.051600
0.0700,0.2550,0.093919,0.278941,0.225659,0.061432
0.0700,0.2700,0.088252,0.290019,0.216781,0.075104
0.0700,0.2850,0.109247,0.249128,0.243872,0.031713
0.0700,0.3000,0.099590,0.267531,0.231569,0.046681
0.0700,0.3150,0.113628,0.250468,0.257032,0.023026
0.0700,0.3300,0.114949,0.241194,0.252906,0.016881
0.0700,0.3450,0.114103,0.245786,0.253714,0.020710
0.0700,0.3600,0.115973,0.243817,0.258783,0.019971
0.0700,0.3750,0.122637,0.233419,0.268281,0.008540
0.0700,0.3900,0.114561,0.244735,0.254865,0.024687
0.0700,0.4050,0.120591,0.240682,0.267818,0.013889
0.0700,0.4200,0.134256,0.215055,0.282145,0.000000
0.0700,0.4350,0.126574,0.230239,0.273761,0.012671
0.0700,0.4500,0.133073,0.218519,0.281981,0.003006
0.0700,0.4650,0.147411,0.197582,0.297618,0.000000
0.0700,0.4800,0.147164,0.199904,0.300096,0.000984
0.0700,0.4950,0.156329,0.186963,0.308137,0.001059
0.0700,0.5100,0.159502,0.181757,0.310043,0.000000
